164,たね子の憂鬱,NDC 913,1999/2/3,2014/9/17,879,芥川 竜之介,芥川龍之介全集6,ちくま文庫、筑摩書房,j.utiyama,かとうかおり
165,二つの手紙,NDC 913,1998/12/6,2014/9/17,879,芥川 竜之介,芥川龍之介全集1,ちくま文庫、筑摩書房,j.utiyama,かとうかおり
166,手紙,NDC 913,1999/2/3,2014/9/17,879,芥川 竜之介,芥川龍之介全集6,ちくま文庫、筑摩書房,j.utiyama,かとうかおり
167,点鬼簿,NDC 914,1998/10/5,2016/2/25,879,芥川 竜之介,昭和文学全集　第1巻,小学館,j.utiyama,山本奈津恵
168,虎の話,NDC 913,1999/1/27,2014/9/17,879,芥川 竜之介,芥川龍之介作品集　第四巻,昭和出版社,j.utiyama,かとうかおり
169,トロツコ,NDC K913,1998/3/24,2014/9/17,879,芥川 竜之介,現代日本文学大系　43　芥川龍之介集,筑摩書房,j.utiyama,野口英司
170,杜子春,NDC K913,1998/5/20,2014/9/17,879,芥川 竜之介,現代日本文学大系　43　芥川龍之介集,筑摩書房,j.utiyama,野口英司
171,一塊の土,NDC 913,1999/1/16,2014/9/17,879,芥川 竜之介,現代日本文学大系　43　芥川龍之介集,筑摩書房,j.utiyama,かとうかおり
172,樗牛の事,NDC 914,1999/1/12,2014/9/17,879,芥川 竜之介,羅生門・鼻・芋粥,角川文庫、角川書店,j.utiyama,かとうかおり
173,忠義,NDC 913,1998/12/6,2014/9/17,879,芥川 竜之介,芥川龍之介全集1,ちくま文庫、筑摩書房,j.utiyama,かとうかおり
174,馬の脚,NDC 913,1999/1/5,2014/9/17,879,芥川 竜之介,芥川龍之介全集5,ちくま文庫、筑摩書房,j.utiyama,かとうかおり
175,海のほとり,NDC 913,1999/1/7,2014/9/17,879,芥川 竜之介,芥川龍之介全集6,ちくま文庫、筑摩書房,j.utiyama,大野晋
176,運,NDC 913,1998/11/11,2014/9/17,879,芥川 竜之介,芥川龍之介全集1,ちくま文庫、筑摩書房,j.utiyama,もりみつじゅんじ
